question;image;category;answerA;answerB;answerC;correct
Bij wie wordt de voorlopige sportschutterlicentie aangevraagd:;;;bij de provinciegouverneur door bemiddeling van de lokale politie.;bij de lokale politie;bij de gemachtigde schietsportfederatie via de club.;C
Bij wie wordt de sportschutterlicentie aangevraagd:;;AANDACHT;bij de provinciegouverneur door bemiddeling van de lokale politie.;bij de gemachtigde schietsportfederatie door bemiddeling van de lokale politie.;bij de gemachtigde schietsportfederatie via de club.;C
Een voorlopige sportschutterslicentie is geldig gedurende:;;AANDACHT;drie maanden;zes maanden;twaalf maanden;C
Een voorlopige sportschutterslicentie:;;AANDACHT;laat de houder ervan toe een voor het sportschieten ontworpen wapen te verwerven om het wapen uit te proberen, hij moet het wapen daarna teruggeven;laat de houder ervan toe om het sportschieten te beoefenen onder begeleiding van een meerderjarige lesgever die houder is van een sportschutterslicentie geldig in de betrokken wapencategorie;laat de houder ervan toe om het sportschieten te beoefenen zonder enige begeleiding.;B
Een pistool behoort tot:;;;wapencategorie A;wapencategorie B;wapencategorie C;B
Een grendelgeweer met getrokken loop behoort tot:;;AANDACHT;wapencategorie B;wapencategorie D;wapencategorie E;B
Een tweeloop met gladde loop behoort tot:;;AANDACHT;wapencategorie A;wapencategorie B;wapencategorie C;C
Een zwartkruit revolver behoort tot:;;;wapencategorie A;wapencategorie C;wapencategorie E;C
De minimumleeftijd voor het aanvragen van een Vlaamse voorlopige sportschutterslicentie is:;;AANDACHT;14 jaar;16 jaar;18 jaar;B
Een voorlopige sportschutterslicentie kan geldig zijn:;;AANDACHT;voor maximum één wapencategorie;voor alle wapencategorieën tegelijk;voor geen enkele wapencategorie;A
Bij de aanvraag van een voorlopige sportschutterslicentie door een minderjarige:;;;dient een schriftelijke toestemming van de ouders of wettelijk vertegenwoordigers te worden aangebracht op het aanvraagformulier;volstaat de mondelinge toestemming van de ouders of wettelijk vertegenwoordigers;zal de voorlopige sportschutterslicentie worden geweigerd omdat de aanvrager minderjarig is;A
Aan een persoon die veroordeeld is voor een misdrijf waardoor elk wapenbezit uitgesloten is:;;AANDACHT;kan de schietsportfederatie een voorlopige sportschutterslicentie toekennen;kan de schietsportfederatie een sportschutterslicentie toekennen;kan de schietsportfederatie nooit een voorlopige sportschutterslicentie of een sportschutterslicentie toekennen;C
Bij de aanvraag van een voorlopige sportschutterslicentie;;AANDACHT;moeten attesten van slagen van de praktische en theoretische proeven worden voorgelegd.;moet een attest van slagen van de theoretische proef worden voorgelegd;moeten geen attesten van slagen voor de praktische en theoretische proef worden voorgelegd;C
Bij de aanvraag van een voorlopige sportschutterslicentie;;AANDACHT;moet een uittreksel strafregister worden voorgelegd dat niet ouder is dan 1 maand.;moet een uittreksel strafregister worden voorgelegd dat niet ouder is dan 3 maanden.;moet een uittreksel strafregister worden voorgelegd dat niet ouder is dan 6 maanden.;B
Bij de aanvraag van een voorlopige sportschutterslicentie:;;;moet geen medisch attest worden toegevoegd;moet een medisch attest worden toegevoegd dat niet ouder is dan 1 maand;moet een medisch attest worden toegevoegd dat niet ouder dan 3 maanden;C
Bij de aanvraag van een voorlopige sportschutterslicentie:;;AANDACHT;moet een kopie van de identiteitskaart worden gevoegd;moet een kopie van de wapenvergunningen worden toegevoegd;moet een pasfoto worden toegevoegd;A
Het medisch attest kan worden afgeleverd:;;AANDACHT;door elke arts;enkel door artsen die erkend zijn door de federatie;enkel door artsen die erkend zijn door de Vlaamse minister bevoegd voor sport;A
